d,t1,t2,p,f,F
8,20,40,370,29.96,3.67082
8,40,40,370,29.96,3.9794
8,60,40,370,29.96,4.01322
8,80,40,370,29.96,4.03682
8,100,40,370,29.96,4.04056
8,20,60,370,29.96,3.66629
8,40,60,370,29.96,4.00509
8,60,60,370,29.96,4.02441
8,80,60,370,29.96,4.04684
8,100,60,370,29.96,4.04738
8,20,80,370,29.96,3.666
8,40,80,370,29.96,4.00424
8,60,80,370,29.96,4.02268
8,80,80,370,29.96,4.0443
8,100,80,370,29.96,4.04472
8,20,100,370,29.96,3.66833
8,40,100,370,29.96,4.00546
8,60,100,370,29.96,4.04213
8,80,100,370,29.96,4.07909
8,100,100,370,29.96,4.07664
8,20,120,370,29.96,3.69003
8,40,120,370,29.96,4.02027
8,60,120,370,29.96,4.0391
8,80,120,370,29.96,4.07616
8,100,120,370,29.96,3.91197
10,20,40,370,32.4,4.37995
10,40,40,370,32.4,5.19097
10,60,40,370,32.4,5.21057
10,80,40,370,32.4,5.25984
10,100,40,370,32.4,5.25835
10,20,60,370,32.4,4.34909
10,40,60,370,32.4,5.29994
10,60,60,370,32.4,5.32426
10,80,60,370,32.4,5.35621
10,100,60,370,32.4,5.35947
10,20,80,370,32.4,4.37253
10,40,80,370,32.4,5.32217
10,60,80,370,32.4,5.34444
10,80,80,370,32.4,5.37419
10,100,80,370,32.4,5.3766
10,20,100,370,32.4,4.36672
10,40,100,370,32.4,5.31689
10,60,100,370,32.4,5.33803
10,80,100,370,32.4,5.36779
10,100,100,370,32.4,5.37027
10,20,120,370,32.4,4.36356
10,40,120,370,32.4,5.31361
10,60,120,370,32.4,5.33455
10,80,120,370,32.4,5.36418
10,100,120,370,32.4,5.36674
12,20,40,370,33.8,4.84701
12,40,40,370,33.8,6.59328
12,60,40,370,33.8,6.60937
12,80,40,370,33.8,7.00012
12,100,40,370,33.8,6.96948
12,20,60,370,33.8,5.24194
12,40,60,370,33.8,6.8185
12,60,60,370,33.8,6.9346
12,80,60,370,33.8,7.26795
12,100,60,370,33.8,7.28638
12,20,80,370,33.8,5.64369
12,40,80,370,33.8,7.33549
12,60,80,370,33.8,7.25205
12,80,80,370,33.8,7.24667
12,100,80,370,33.8,7.42055
12,20,100,370,33.8,5.51441
12,40,100,370,33.8,7.15177
12,60,100,370,33.8,7.24201
12,80,100,370,33.8,7.23734
12,100,100,370,33.8,7.24438
12,20,120,370,33.8,5.51393
12,40,120,370,33.8,7.15016
12,60,120,370,33.8,7.23965
12,80,120,370,33.8,7.23566
12,100,120,370,33.8,7.24253
14,20,40,370,35.37,6.14992
14,40,40,370,35.37,8.33629
14,60,40,370,35.37,8.64354
14,80,40,370,35.37,8.65981
14,100,40,370,35.37,8.6599
14,20,60,370,35.37,6.87922
14,40,60,370,35.37,8.55291
14,60,60,370,35.37,8.88759
14,80,60,370,35.37,8.90346
14,100,60,370,35.37,8.90235
14,20,80,370,35.37,6.79125
14,40,80,370,35.37,8.95673
14,60,80,370,35.37,9.34179
14,80,80,370,35.37,9.35897
14,100,80,370,35.37,9.35457
14,20,100,370,35.37,6.92771
14,40,100,370,35.37,9.1086
14,60,100,370,35.37,9.49154
14,80,100,370,35.37,9.50986
14,100,100,370,35.37,9.50217
14,20,120,370,35.37,6.92662
14,40,120,370,35.37,9.103
14,60,120,370,35.37,9.48412
14,80,120,370,35.37,9.50366
14,100,120,370,35.37,9.49599
16,20,40,370,36.78,7.81987
16,40,40,370,36.78,10.4778
16,60,40,370,36.78,11.3486
16,80,40,370,36.78,11.3918
16,100,40,370,36.78,11.3918
16,20,60,370,36.78,8.47506
16,40,60,370,36.78,10.8539
16,60,60,370,36.78,11.5897
16,80,60,370,36.78,11.6274
16,100,60,370,36.78,11.6297
16,20,80,370,36.78,8.46671
16,40,80,370,36.78,10.5624
16,60,80,370,36.78,11.3745
16,80,80,370,36.78,11.4117
16,100,80,370,36.78,11.4127
16,20,100,370,36.78,8.63095
16,40,100,370,36.78,10.448
16,60,100,370,36.78,11.2324
16,80,100,370,36.78,11.2672
16,100,100,370,36.78,11.2681
16,20,120,370,36.78,8.20145
16,40,120,370,36.78,10.4214
16,60,120,370,36.78,11.1956
16,80,120,370,36.78,11.231
16,100,120,370,36.78,11.2324
18,20,40,370,38.08,9.27901
18,40,40,370,38.08,11.2113
18,60,40,370,38.08,11.7782
18,80,40,370,38.08,11.8396
18,100,40,370,38.08,12.0541
18,20,60,370,38.08,9.27216
18,40,60,370,38.08,10.9502
18,60,60,370,38.08,11.8669
18,80,60,370,38.08,11.9459
18,100,60,370,38.08,12.1196
18,20,80,370,38.08,10.3615
18,40,80,370,38.08,12.8607
18,60,80,370,38.08,14.0759
18,80,80,370,38.08,14.2023
18,100,80,370,38.08,14.2059
18,20,100,370,38.08,10.1156
18,40,100,370,38.08,12.6766
18,60,100,370,38.08,14.8479
18,80,100,370,38.08,14.9864
18,100,100,370,38.08,14.9902
18,20,120,370,38.08,10.293
18,40,120,370,38.08,12.6041
18,60,120,370,38.08,13.316
18,80,120,370,38.08,13.4235
18,100,120,370,38.08,13.4269
8,20,40,420,33.87,4.16961
8,40,40,420,33.87,4.36018
8,60,40,420,33.87,4.35426
8,80,40,420,33.87,4.37848
8,100,40,420,33.87,4.38611
8,20,60,420,33.87,4.16347
8,40,60,420,33.87,4.34372
8,60,60,420,33.87,4.33039
8,80,60,420,33.87,4.34496
8,100,60,420,33.87,4.34413
8,20,80,420,33.87,4.16259
8,40,80,420,33.87,4.34227
8,60,80,420,33.87,4.34862
8,80,80,420,33.87,4.37277
8,100,80,420,33.87,4.37861
8,20,100,420,33.87,4.16338
8,40,100,420,33.87,4.34494
8,60,100,420,33.87,4.33375
8,80,100,420,33.87,4.39676
8,100,100,420,33.87,4.40146
8,20,120,420,33.87,4.2297
8,40,120,420,33.87,4.36039
8,60,120,420,33.87,4.35992
8,80,120,420,33.87,4.39549
8,100,120,420,33.87,4.33354
10,20,40,420,36.17,5.00271
10,40,40,420,36.17,5.83411
10,60,40,420,36.17,5.8497
10,80,40,420,36.17,5.97484
10,100,40,420,36.17,5.93878
10,20,60,420,36.17,5.12733
10,40,60,420,36.17,5.83592
10,60,60,420,36.17,5.8403
10,80,60,420,36.17,5.95946
10,100,60,420,36.17,5.95988
10,20,80,420,36.17,5.15513
10,40,80,420,36.17,5.87295
10,60,80,420,36.17,5.87051
10,80,80,420,36.17,5.83502
10,100,80,420,36.17,5.83732
10,20,100,420,36.17,5.14972
10,40,100,420,36.17,5.85443
10,60,100,420,36.17,5.83734
10,80,100,420,36.17,5.97123
10,100,100,420,36.17,5.9669
10,20,120,420,36.17,5.14533
10,40,120,420,36.17,5.85464
10,60,120,420,36.17,5.83327
10,80,120,420,36.17,5.9606
10,100,120,420,36.17,5.96257
12,20,40,420,38.16,5.84414
12,40,40,420,38.16,6.82841
12,60,40,420,38.16,6.87382
12,80,40,420,38.16,7.17718
12,100,40,420,38.16,7.18332
12,20,60,420,38.16,5.51727
12,40,60,420,38.16,7.49325
12,60,60,420,38.16,7.71652
12,80,60,420,38.16,8.12437
12,100,60,420,38.16,8.13577
12,20,80,420,38.16,6.37395
12,40,80,420,38.16,8.1144
12,60,80,420,38.16,8.20894
12,80,80,420,38.16,8.00343
12,100,80,420,38.16,8.15746
12,20,100,420,38.16,6.47783
12,40,100,420,38.16,8.10859
12,60,100,420,38.16,8.2072
12,80,100,420,38.16,8.14242
12,100,100,420,38.16,8.1502
12,20,120,420,38.16,6.47685
12,40,120,420,38.16,8.10519
12,60,120,420,38.16,8.20319
12,80,120,420,38.16,8.11134
12,100,120,420,38.16,8.15143
14,20,40,420,39.93,7.31274
14,40,40,420,39.93,10.4716
14,60,40,420,39.93,10.2278
14,80,40,420,39.93,10.1638
14,100,40,420,39.93,10.1624
14,20,60,420,39.93,7.9295
14,40,60,420,39.93,10.3102
14,60,60,420,39.93,10.5193
14,80,60,420,39.93,10.5503
14,100,60,420,39.93,10.5411
14,20,80,420,39.93,8.24972
14,40,80,420,39.93,10.125
14,60,80,420,39.93,10.9014
14,80,80,420,39.93,10.5981
14,100,80,420,39.93,10.9115
14,20,100,420,39.93,8.23912
14,40,100,420,39.93,10.8694
14,60,100,420,39.93,10.845
14,80,100,420,39.93,10.8738
14,100,100,420,39.93,10.8618
14,20,120,420,39.93,7.93042
14,40,120,420,39.93,10.8751
14,60,120,420,39.93,10.8579
14,80,120,420,39.93,10.9028
14,100,120,420,39.93,10.8972
16,20,40,420,41.53,9.28824
16,40,40,420,41.53,13.2661
16,60,40,420,41.53,13.3299
16,80,40,420,41.53,13.3693
16,100,40,420,41.53,13.3613
16,20,60,420,41.53,9.36889
16,40,60,420,41.53,13.6709
16,60,60,420,41.53,14.0603
16,80,60,420,41.53,14.0145
16,100,60,420,41.53,14.0251
16,20,80,420,41.53,9.83442
16,40,80,420,41.53,14.0323
16,60,80,420,41.53,14.0928
16,80,80,420,41.53,13.9884
16,100,80,420,41.53,13.926
16,20,100,420,41.53,9.81349
16,40,100,420,41.53,13.5606
16,60,100,420,41.53,13.9432
16,80,100,420,41.53,13.9567
16,100,100,420,41.53,13.9651
16,20,120,420,41.53,9.81064
16,40,120,420,41.53,13.5518
16,60,120,420,41.53,14.1209
16,80,120,420,41.53,13.8915
16,100,120,420,41.53,13.6592
18,20,40,420,42.99,10.4713
18,40,40,420,42.99,12.1135
18,60,40,420,42.99,12.5763
18,80,40,420,42.99,12.6269
18,100,40,420,42.99,12.6336
18,20,60,420,42.99,11.0854
18,40,60,420,42.99,14.5181
18,60,60,420,42.99,14.9373
18,80,60,420,42.99,15.019
18,100,60,420,42.99,15.0254
18,20,80,420,42.99,11.5264
18,40,80,420,42.99,14.9105
18,60,80,420,42.99,16.1844
18,80,80,420,42.99,16.2669
18,100,80,420,42.99,16.2722
18,20,100,420,42.99,11.4231
18,40,100,420,42.99,15.3394
18,60,100,420,42.99,16.7337
18,80,100,420,42.99,16.8081
18,100,100,420,42.99,16.8137
18,20,120,420,42.99,11.7498
18,40,120,420,42.99,15.3011
18,60,120,420,42.99,16.6708
18,80,120,420,42.99,16.7452
18,100,120,420,42.99,16.8608
