T,EC5,NDS,GB,TFEC,S,S_EC5
3.67082,2.887365963,1.172052221,0.794999822,0.534255817,5.05494477,3.79694833
3.9794,2.887365963,1.208659741,0.865573114,0.534255817,5.25622352,3.79694833
4.01322,2.887365963,1.208659741,0.656316591,0.534255817,5.26960884,3.79694833
4.03682,2.887365963,1.208659741,0.492237443,0.534255817,5.28476673,3.79694833
4.04056,2.887365963,1.208659741,0.393789954,0.534255817,5.28609227,3.79694833
3.66629,2.887365963,1.172052221,0.794999822,0.534255817,5.00311891,3.79694833
4.00509,2.887365963,1.208659741,0.865573114,0.534255817,5.2028642,3.79694833
4.02441,2.887365963,1.208659741,0.865573114,0.534255817,5.21051072,3.79694833
4.04684,2.887365963,1.208659741,0.865573114,0.534255817,5.22473294,3.79694833
4.04738,2.887365963,1.208659741,0.865573114,0.534255817,5.22359454,3.79694833
3.666,2.887365963,1.172052221,0.794999822,0.534255817,5.00226121,3.79694833
4.00424,2.887365963,1.208659741,0.865573114,0.534255817,5.2014191,3.79694833
4.02268,2.887365963,1.208659741,0.865573114,0.534255817,5.21124366,3.79694833
4.0443,2.887365963,1.208659741,0.865573114,0.534255817,5.22521118,3.79694833
4.04472,2.887365963,1.208659741,0.865573114,0.534255817,5.22361533,3.79694833
3.66833,2.887365963,1.172052221,0.794999822,0.534255817,5.01280312,3.79694833
4.00546,2.887365963,1.208659741,0.865573114,0.534255817,5.20167381,3.79694833
4.04213,2.887365963,1.208659741,0.865573114,0.534255817,5.22131774,3.79694833
4.07909,2.887365963,1.208659741,0.865573114,0.534255817,5.2400104,3.79694833
4.07664,2.887365963,1.208659741,0.865573114,0.534255817,5.23929825,3.79694833
3.69003,2.887365963,1.172052221,0.794999822,0.534255817,5.01462248,3.79694833
4.02027,2.887365963,1.208659741,0.865573114,0.534255817,5.20727745,3.79694833
4.0391,2.887365963,1.208659741,0.865573114,0.534255817,5.22245094,3.79694833
4.07616,2.887365963,1.208659741,0.865573114,0.534255817,5.24106043,3.79694833
3.91197,2.887365963,1.208659741,0.865573114,0.534255817,5.06117219,3.79694833
4.37995,4.267437774,1.632252565,1.008879519,0.834774714,6.43061209,4.74618541
5.19097,4.267437774,1.888530846,1.230088761,0.834774714,6.82808057,4.74618541
5.21057,4.267437774,1.888530846,0.820395738,0.834774714,6.8525692,4.74618541
5.25984,4.267437774,1.888530846,0.615296804,0.834774714,6.87702144,4.74618541
5.25835,4.267437774,1.888530846,0.492237443,0.834774714,6.87888759,4.74618541
4.34909,4.267437774,1.632252565,1.089641316,0.834774714,6.2985575,4.74618541
5.29994,4.267437774,1.888530846,1.35245799,0.834774714,6.68583236,4.74618541
5.32426,4.267437774,1.888530846,1.35245799,0.834774714,6.70626641,4.74618541
5.35621,4.267437774,1.888530846,1.35245799,0.834774714,6.7279948,4.74618541
5.35947,4.267437774,1.888530846,1.107534247,0.834774714,6.72897206,4.74618541
4.37253,4.267437774,1.632252565,1.089641316,0.834774714,6.29860949,4.74618541
5.32217,4.267437774,1.888530846,1.35245799,0.834774714,6.68467316,4.74618541
5.34444,4.267437774,1.888530846,1.35245799,0.834774714,6.70670825,4.74618541
5.37419,4.267437774,1.888530846,1.35245799,0.834774714,6.72974659,4.74618541
5.3766,4.267437774,1.888530846,1.35245799,0.834774714,6.7300065,4.74618541
4.36672,4.267437774,1.632252565,1.089641316,0.834774714,6.29610916,4.74618541
5.31689,4.267437774,1.888530846,1.35245799,0.834774714,6.68126316,4.74618541
5.33803,4.267437774,1.888530846,1.35245799,0.834774714,6.70820533,4.74618541
5.36779,4.267437774,1.888530846,1.35245799,0.834774714,6.73094217,4.74618541
5.37027,4.267437774,1.888530846,1.35245799,0.834774714,6.73082781,4.74618541
4.36356,4.267437774,1.632252565,1.089641316,0.834774714,6.2939935,4.74618541
5.31361,4.267437774,1.888530846,1.35245799,0.834774714,7.16752593,4.74618541
5.33455,4.267437774,1.888530846,1.35245799,0.834774714,6.71016504,4.74618541
5.36418,4.267437774,1.888530846,1.35245799,0.834774714,6.73280832,4.74618541
5.36674,4.267437774,1.888530846,1.35245799,0.834774714,6.73241845,4.74618541
4.84701,5.858865408,2.196318311,1.210655422,1.202075589,7.26121026,5.6954225
6.59328,5.858865408,2.719484418,1.476106513,1.202075589,7.57072125,5.6954225
6.60937,5.858865408,2.719484418,0.984474886,1.202075589,7.62615984,5.6954225
7.00012,5.858865408,2.719484418,0.738356164,1.202075589,7.8205848,5.6954225
6.96948,5.858865408,2.719484418,0.590684932,1.202075589,7.82397661,5.6954225
5.24194,5.858865408,2.196318311,1.440766698,1.202075589,7.67065887,5.6954225
6.8185,5.858865408,2.719484418,1.907818055,1.202075589,7.20717349,5.6954225
6.9346,5.858865408,2.719484418,1.947539506,1.202075589,7.25376218,5.6954225
7.26795,5.858865408,2.719484418,1.66130137,1.202075589,7.44974659,5.6954225
7.28638,5.858865408,2.719484418,1.329041096,1.202075589,7.45130604,5.6954225
5.64369,5.858865408,2.196318311,1.440766698,1.202075589,7.18459145,5.6954225
7.33549,5.858865408,2.719484418,1.947539506,1.202075589,7.34810916,5.6954225
7.25205,5.858865408,2.719484418,1.947539506,1.202075589,7.39875244,5.6954225
7.24667,5.858865408,2.719484418,1.947539506,1.202075589,7.39925926,5.6954225
7.42055,5.858865408,2.719484418,1.947539506,1.202075589,7.40074074,5.6954225
5.51441,5.858865408,2.196318311,1.440766698,1.202075589,7.18232479,5.6954225
7.15177,5.858865408,2.719484418,1.947539506,1.202075589,7.94347692,5.6954225
7.24201,5.858865408,2.719484418,1.947539506,1.202075589,8.00589402,5.6954225
7.23734,5.858865408,2.719484418,1.947539506,1.202075589,8.00692308,5.6954225
7.24438,5.858865408,2.719484418,1.947539506,1.202075589,8.00860513,5.6954225
5.51393,5.858865408,2.196318311,1.440766698,1.202075589,7.18152821,5.6954225
7.15016,5.858865408,2.719484418,1.947539506,1.202075589,7.94121709,5.6954225
7.23965,5.858865408,2.719484418,1.947539506,1.202075589,8.00759316,5.6954225
7.23566,5.858865408,2.719484418,1.947539506,1.202075589,8.00894017,5.6954225
7.24253,5.858865408,2.719484418,1.947539506,1.202075589,8.01105299,5.6954225
6.14992,7.644087193,2.878405436,1.412431326,1.63615844,9.79315088,6.64465958
8.33629,7.644087193,3.701520458,1.722124265,1.63615844,11.17646784,6.64465958
8.64354,7.644087193,3.701520458,1.148554033,1.63615844,11.30164211,6.64465958
8.65981,7.644087193,3.701520458,0.861415525,1.63615844,11.32096842,6.64465958
8.6599,7.644087193,3.701520458,0.68913242,1.63615844,11.32018246,6.64465958
6.87922,7.644087193,2.878405436,1.854140912,1.63615844,9.57333801,6.64465958
8.55291,7.644087193,3.701520458,2.22578773,1.63615844,10.66526316,6.64465958
8.88759,7.644087193,3.701520458,2.583186398,1.63615844,10.7836538,6.64465958
8.90346,7.644087193,3.701520458,1.938184932,1.63615844,10.79790877,6.64465958
8.90235,7.644087193,3.701520458,1.550547945,1.63615844,10.79488655,6.64465958
6.79125,7.644087193,2.878405436,1.854140912,1.63615844,9.45620117,6.64465958
8.95673,7.644087193,3.701520458,2.65081766,1.63615844,10.54269942,6.64465958
9.34179,7.644087193,3.701520458,2.65081766,1.63615844,10.65550409,6.64465958
9.35897,7.644087193,3.701520458,2.65081766,1.63615844,10.67082573,6.64465958
9.35457,7.644087193,3.701520458,2.65081766,1.63615844,10.66752281,6.64465958
6.92771,7.644087193,2.878405436,1.854140912,1.63615844,9.4387462,6.64465958
9.1086,7.644087193,3.701520458,2.65081766,1.63615844,10.52147368,6.64465958
9.49154,7.644087193,3.701520458,2.65081766,1.63615844,10.63802105,6.64465958
9.50986,7.644087193,3.701520458,2.65081766,1.63615844,10.65364211,6.64465958
9.50217,7.644087193,3.701520458,2.65081766,1.63615844,10.64954386,6.64465958
6.92662,7.644087193,2.878405436,1.854140912,1.63615844,9.43548538,6.64465958
9.103,7.644087193,3.701520458,2.65081766,1.63615844,10.51528889,6.64465958
9.48412,7.644087193,3.701520458,2.65081766,1.63615844,10.63800702,6.64465958
9.50366,7.644087193,3.701520458,2.65081766,1.63615844,10.65376374,6.64465958
9.49599,7.644087193,3.701520458,2.65081766,1.63615844,10.65037661,6.64465958
7.81987,9.607304466,3.69070094,1.61420723,2.137023269,11.35762183,7.59389666
10.4778,9.607304466,4.447729027,1.968142018,2.137023269,12.60670565,7.59389666
11.3486,9.607304466,4.447729027,1.312633181,2.137023269,12.83847953,7.59389666
11.3918,9.607304466,4.447729027,0.984474886,2.137023269,12.86304094,7.59389666
11.3918,9.607304466,4.447729027,0.787579909,2.137023269,12.86304094,7.59389666
8.47506,9.607304466,3.69070094,2.334076381,2.137023269,10.50619883,7.59389666
10.8539,9.607304466,4.775786186,2.543757406,2.137023269,11.89836257,7.59389666
11.5897,9.607304466,4.834638966,2.952213026,2.137023269,12.12955166,7.59389666
11.6274,9.607304466,4.834638966,2.215068493,2.137023269,12.14639376,7.59389666
11.6297,9.607304466,4.834638966,1.772054795,2.137023269,12.14869396,7.59389666
8.46671,9.607304466,3.69070094,2.334076381,2.137023269,10.24148148,7.59389666
10.5624,9.607304466,4.775786186,3.179999287,2.137023269,11.64397661,7.59389666
11.3745,9.607304466,4.834638966,3.462292454,2.137023269,11.87087719,7.59389666
11.4117,9.607304466,4.834638966,3.462292454,2.137023269,11.88588694,7.59389666
11.4127,9.607304466,4.834638966,3.150319635,2.137023269,11.88748538,7.59389666
8.63095,9.607304466,3.69070094,2.334076381,2.137023269,10.18760234,7.59389666
10.448,9.607304466,4.775786186,3.179999287,2.137023269,11.58553606,7.59389666
11.2324,9.607304466,4.834638966,3.462292454,2.137023269,11.81387914,7.59389666
11.2672,9.607304466,4.834638966,3.462292454,2.137023269,11.83099415,7.59389666
11.2681,9.607304466,4.834638966,3.462292454,2.137023269,11.83224172,7.59389666
8.20145,9.607304466,3.69070094,2.334076381,2.137023269,10.17937622,7.59389666
10.4214,9.607304466,4.775786186,3.179999287,2.137023269,11.57216374,7.59389666
11.1956,9.607304466,4.834638966,3.462292454,2.137023269,11.80580897,7.59389666
11.231,9.607304466,4.834638966,3.462292454,2.137023269,11.82261209,7.59389666
11.2324,9.607304466,4.834638966,3.462292454,2.137023269,11.82448343,7.59389666
9.27901,11.73392688,4.643969907,1.815983134,2.704670075,13.62179337,8.54313375
11.2113,11.73392688,5.003695155,2.21415977,2.704670075,14.95699805,8.54313375
11.7782,11.73392688,5.003695155,1.476712329,2.704670075,15.32732943,8.54313375
11.8396,11.73392688,5.003695155,1.107534247,2.704670075,15.38011696,8.54313375
12.0541,11.73392688,5.003695155,0.886027397,2.704670075,15.90218037,8.54313375
9.27216,11.73392688,4.643969907,2.672727273,2.704670075,12.53968811,8.54313375
10.9502,11.73392688,5.7013062,2.861727082,2.704670075,14.12779727,8.54313375
11.8669,11.73392688,6.118839941,3.321239655,2.704670075,15.7097076,8.54313375
11.9459,11.73392688,6.118839941,2.491952055,2.704670075,15.76116959,8.54313375
12.1196,11.73392688,6.118839941,1.993561644,2.704670075,14.57224172,8.54313375
10.3615,11.73392688,4.643969907,2.88376285,2.704670075,12.08748538,8.54313375
12.8607,11.73392688,5.7013062,3.631966267,2.704670075,13.72385965,8.54313375
14.0759,11.73392688,6.118839941,3.942104841,2.704670075,14.11953216,8.54313375
14.2023,11.73392688,6.118839941,4.381963888,2.704670075,14.16109162,8.54313375
14.2059,11.73392688,6.118839941,3.544109589,2.704670075,14.16272904,8.54313375
10.1156,11.73392688,4.643969907,2.88376285,2.704670075,11.96448343,8.54313375
12.6766,11.73392688,5.7013062,3.742746205,2.704670075,13.59594542,8.54313375
14.8479,11.73392688,6.118839941,4.381963888,2.704670075,13.98935673,8.54313375
14.9864,11.73392688,6.118839941,4.381963888,2.704670075,14.03660819,8.54313375
14.9902,11.73392688,6.118839941,4.381963888,2.704670075,11.80838746,8.54313375
10.293,11.73392688,4.643969907,2.88376285,2.704670075,11.93676413,8.54313375
12.6041,11.73392688,5.7013062,3.742746205,2.704670075,13.56101365,8.54313375
13.316,11.73392688,6.118839941,4.381963888,2.704670075,13.96003899,8.54313375
13.4235,11.73392688,6.118839941,4.381963888,2.704670075,14.00748538,8.54313375
13.4269,12.50164496,6.609102506,4.381963888,3.036158139,14.00947368,10.24888762
4.16961,3.076278256,1.30550173,0.865573114,0.599734941,4.42410639,4.55506117
4.36018,3.076278256,1.30550173,0.865573114,0.599734941,4.08384952,4.55506117
4.35426,3.076278256,1.30550173,0.750076104,0.599734941,4.35957026,4.55506117
4.37848,3.076278256,1.30550173,0.562557078,0.599734941,4.11044697,4.55506117
4.38611,3.076278256,1.30550173,0.450045662,0.599734941,4.11840849,4.55506117
4.16347,3.076278256,1.30550173,0.865573114,0.599734941,4.3660466,4.55506117
4.34372,3.076278256,1.30550173,0.865573114,0.599734941,4.02847323,4.55506117
4.33039,3.076278256,1.30550173,0.865573114,0.599734941,4.297817,4.55506117
4.34496,3.076278256,1.30550173,0.865573114,0.599734941,4.05190379,4.55506117
4.34413,3.076278256,1.30550173,0.865573114,0.599734941,4.05300002,4.55506117
4.16259,3.076278256,1.30550173,0.865573114,0.599734941,4.3647046,4.55506117
4.34227,3.076278256,1.30550173,0.865573114,0.599734941,4.02559423,4.55506117
4.34862,3.076278256,1.30550173,0.865573114,0.599734941,4.0355489,4.55506117
4.37277,3.076278256,1.30550173,0.865573114,0.599734941,4.04852651,4.55506117
4.37861,3.076278256,1.30550173,0.865573114,0.599734941,4.04936806,4.55506117
4.16338,3.076278256,1.30550173,0.865573114,0.599734941,4.132369,4.55506117
4.34494,3.076278256,1.30550173,0.865573114,0.599734941,4.03082071,4.55506117
4.33375,3.076278256,1.30550173,0.865573114,0.599734941,4.836987,4.55506117
4.39676,3.076278256,1.30550173,0.865573114,0.599734941,4.06706279,4.55506117
4.40146,3.076278256,1.30550173,0.865573114,0.599734941,4.06745034,4.55506117
4.2297,3.076278256,1.30550173,0.865573114,0.599734941,4.38240126,4.55506117
4.36039,3.076278256,1.30550173,0.865573114,0.599734941,4.03505061,4.55506117
4.35992,3.076278256,1.30550173,0.865573114,0.599734941,4.04728633,4.55506117
4.39549,3.076278256,1.30550173,0.865573114,0.599734941,4.06686347,4.55506117
4.33354,3.076278256,1.30550173,0.865573114,0.599734941,4.47525519,4.55506117
5.00271,4.546644312,1.843485864,1.153005164,0.937085845,4.99171511,5.69382646
5.83411,4.546644312,2.039846452,1.35245799,0.937085845,5.55750608,5.69382646
5.8497,4.546644312,2.039846452,0.937595129,0.937085845,5.58709229,5.69382646
5.97484,4.546644312,2.039846452,0.703196347,0.937085845,5.60877387,5.69382646
5.93878,4.546644312,2.039846452,0.562557078,0.937085845,5.61220253,5.69382646
5.12733,4.546644312,1.843485864,1.207890425,0.937085845,4.85858343,5.69382646
5.83592,4.546644312,2.039846452,1.35245799,0.937085845,5.39301776,5.69382646
5.8403,4.546644312,2.039846452,1.35245799,0.937085845,5.41993584,5.69382646
5.95946,4.546644312,2.039846452,1.35245799,0.937085845,5.43993427,5.69382646
5.95988,4.546644312,2.039846452,1.265753425,0.937085845,5.44204134,5.69382646
5.15513,4.546644312,1.843485864,1.207890425,0.937085845,4.85626441,5.69382646
5.87295,4.546644312,2.039846452,1.35245799,0.937085845,5.38855427,5.69382646
5.87051,4.546644312,2.039846452,1.35245799,0.937085845,5.41447492,5.69382646
5.83502,4.546644312,2.039846452,1.35245799,0.937085845,5.4353461,5.69382646
5.83732,4.546644312,2.039846452,1.35245799,0.937085845,5.43756538,5.69382646
5.14972,4.546644312,1.843485864,1.207890425,0.937085845,4.85394539,5.69382646
5.85443,4.546644312,2.039846452,1.35245799,0.937085845,5.38482638,5.69382646
5.83734,4.546644312,2.039846452,1.35245799,0.937085845,5.41219331,5.69382646
5.97123,4.546644312,2.039846452,1.35245799,0.937085845,5.43293981,5.69382646
5.9669,4.546644312,2.039846452,1.35245799,0.937085845,5.43493466,5.69382646
5.14533,4.546644312,1.843485864,1.207890425,0.937085845,4.85243678,5.69382646
5.85464,4.546644312,2.039846452,1.35245799,0.937085845,5.38255723,5.69382646
5.83327,4.546644312,2.039846452,1.35245799,0.937085845,5.4113829,5.69382646
5.9606,4.546644312,2.039846452,1.35245799,0.937085845,5.4318551,5.69382646
5.96257,4.546644312,2.039846452,1.35245799,0.937085845,5.43375022,5.69382646
5.84414,6.242194612,2.46175333,1.383606197,1.349403617,6.03374049,6.83259175
6.82841,6.242194612,2.937378891,1.686978872,1.349403617,6.99453784,6.83259175
6.87382,6.242194612,2.937378891,1.125114155,1.349403617,7.05809893,6.83259175
7.17718,6.242194612,2.937378891,0.843835616,1.349403617,7.40244844,6.83259175
7.18332,6.242194612,2.937378891,0.675068493,1.349403617,7.40815871,6.83259175
5.51727,6.242194612,2.46175333,1.585355895,1.349403617,4.91769293,6.83259175
7.49325,6.242194612,2.937378891,1.947539506,1.349403617,5.86018734,6.83259175
7.71652,6.242194612,2.937378891,1.947539506,1.349403617,5.91384147,6.83259175
8.12437,6.242194612,2.937378891,1.898630137,1.349403617,6.19754648,6.83259175
8.13577,6.242194612,2.937378891,1.51890411,1.349403617,6.34813285,6.83259175
6.37395,6.242194612,2.46175333,1.585355895,1.349403617,5.32553939,6.83259175
8.1144,6.242194612,2.937378891,1.947539506,1.349403617,5.65568661,6.83259175
8.20894,6.242194612,2.937378891,1.947539506,1.349403617,5.7104456,6.83259175
8.00343,6.242194612,2.937378891,1.947539506,1.349403617,5.4008122,6.83259175
8.15746,6.242194612,2.937378891,1.947539506,1.349403617,5.7161559,6.83259175
6.47783,6.242194612,2.46175333,1.585355895,1.349403617,5.31590497,6.83259175
8.10859,6.242194612,2.937378891,1.947539506,1.349403617,6.20813302,6.83259175
8.2072,6.242194612,2.937378891,1.947539506,1.349403617,6.26668196,6.83259175
8.14242,6.242194612,2.937378891,1.947539506,1.349403617,6.2694947,6.83259175
8.1502,6.242194612,2.937378891,1.947539506,1.349403617,6.27302559,6.83259175
6.47685,6.242194612,2.46175333,1.585355895,1.349403617,5.31502723,6.83259175
8.10519,6.242194612,2.937378891,1.947539506,1.349403617,6.20675657,6.83259175
8.20319,6.242194612,2.937378891,1.947539506,1.349403617,6.26629296,6.83259175
8.11134,6.242194612,2.937378891,1.947539506,1.349403617,6.26915558,6.83259175
8.15143,6.242194612,2.937378891,1.947539506,1.349403617,6.27240719,6.83259175
7.31274,8.144218474,3.205744364,1.61420723,1.836688257,7.80959582,7.97135704
10.4716,8.144218474,3.998099047,1.968142018,1.836688257,9.24020519,7.97135704
10.2278,8.144218474,3.998099047,1.312633181,1.836688257,9.37326908,7.97135704
10.1638,8.144218474,3.998099047,0.984474886,1.836688257,9.9758555,7.97135704
10.1624,8.144218474,3.998099047,0.787579909,1.836688257,8.43816905,7.97135704
7.9295,8.144218474,3.205744364,2.027202123,1.836688257,7.13342577,7.97135704
10.3102,8.144218474,3.998099047,2.543757406,1.836688257,7.83812527,7.97135704
10.5193,8.144218474,3.998099047,2.65081766,1.836688257,7.30742505,7.97135704
10.5503,8.144218474,3.998099047,2.215068493,1.836688257,7.97854073,7.97135704
10.5411,8.144218474,3.998099047,1.772054795,1.836688257,7.3194441,7.97135704
8.24972,8.144218474,3.205744364,2.027202123,1.836688257,5.80455328,7.97135704
10.125,8.144218474,3.998099047,2.65081766,1.836688257,7.02951566,7.97135704
10.9014,8.144218474,3.998099047,2.65081766,1.836688257,7.15301432,7.97135704
10.5981,8.144218474,3.998099047,2.65081766,1.836688257,7.10256766,7.97135704
10.9115,8.144218474,3.998099047,2.65081766,1.836688257,7.1624733,7.97135704
8.23912,8.144218474,3.205744364,2.027202123,1.836688257,5.78533609,7.97135704
10.8694,8.144218474,3.998099047,2.65081766,1.836688257,7.00356582,7.97135704
10.845,8.144218474,3.998099047,2.65081766,1.836688257,7.12407218,7.97135704
10.8738,8.144218474,3.998099047,2.65081766,1.836688257,7.13586681,7.97135704
10.8618,8.144218474,3.998099047,2.65081766,1.836688257,7.13457015,7.97135704
7.93042,8.144218474,3.205744364,2.027202123,1.836688257,6.22557354,7.97135704
10.8751,8.144218474,3.998099047,2.65081766,1.836688257,7.22856941,7.97135704
10.8579,8.144218474,3.998099047,2.65081766,1.836688257,7.12030688,7.97135704
10.9028,8.144218474,3.998099047,2.65081766,1.836688257,7.36212572,7.97135704
10.8972,8.144218474,3.998099047,2.65081766,1.836688257,7.36073653,7.97135704
9.28824,10.23588357,4.089280182,1.844808263,2.398939764,10.16701259,9.11012233
13.2661,10.23588357,5.189017198,2.249305163,2.398939764,11.64596892,9.11012233
13.3299,10.23588357,5.189017198,1.500152207,2.398939764,11.90445376,9.11012233
13.3693,10.23588357,5.189017198,1.125114155,2.398939764,11.93025839,9.11012233
13.3613,10.23588357,5.189017198,0.900091324,2.398939764,11.93674277,9.11012233
9.36889,10.23588357,4.089280182,2.53830407,2.398939764,8.05464901,9.11012233
13.6709,10.23588357,5.222006918,2.907151321,2.398939764,9.59773866,9.11012233
14.0603,10.23588357,5.222006918,3.373957744,2.398939764,9.86060963,9.11012233
14.0145,10.23588357,5.222006918,2.531506849,2.398939764,8.90921139,9.11012233
14.0251,10.23588357,5.222006918,2.025205479,2.398939764,8.91224513,9.11012233
9.83442,10.23588357,4.089280182,2.53830407,2.398939764,7.78661054,9.11012233
14.0323,10.23588357,5.222006918,3.462292454,2.398939764,8.33631385,9.11012233
14.0928,10.23588357,5.222006918,3.462292454,2.398939764,8.62060707,9.11012233
13.9884,10.23588357,5.222006918,3.462292454,2.398939764,8.63721279,9.11012233
13.926,10.23588357,5.222006918,3.462292454,2.398939764,8.63912884,9.11012233
9.81349,10.23588357,4.089280182,2.53830407,2.398939764,7.72758284,9.11012233
13.5606,10.23588357,5.222006918,3.462292454,2.398939764,8.26749589,9.11012233
13.9432,10.23588357,5.222006918,3.462292454,2.398939764,8.54252822,9.11012233
13.9567,10.23588357,5.222006918,3.462292454,2.398939764,8.55937345,9.11012233
13.9651,10.23588357,5.222006918,3.462292454,2.398939764,8.56136933,9.11012233
9.81064,10.23588357,4.089280182,2.53830407,2.398939764,6.79094349,9.11012233
13.5518,10.23588357,5.222006918,3.462292454,2.398939764,8.25320538,9.11012233
14.1209,10.23588357,5.222006918,3.462292454,2.398939764,8.526162,9.11012233
13.8915,10.23588357,5.222006918,3.462292454,2.398939764,8.54396526,9.11012233
13.6592,10.23588357,5.222006918,3.462292454,2.398939764,8.54628048,9.11012233
10.4713,12.50164496,5.12464303,2.075409296,3.036158139,12.21618224,10.24888762
12.1135,12.50164496,5.837644348,2.530468308,3.036158139,13.78408617,10.24888762
12.5763,12.50164496,5.837644348,1.687671233,3.036158139,14.20650085,10.24888762
12.6269,12.50164496,5.837644348,1.265753425,3.036158139,14.25739259,10.24888762
12.6336,12.50164496,5.837644348,1.01260274,3.036158139,14.26443505,10.24888762
11.0854,12.50164496,5.12464303,3.054545455,3.036158139,9.64607313,10.24888762
14.5181,12.50164496,6.453608754,3.270545236,3.036158139,11.34453111,10.24888762
14.9373,12.50164496,6.609102506,3.795702462,3.036158139,10.69536477,10.24888762
15.019,12.50164496,6.609102506,2.847945205,3.036158139,10.74406425,10.24888762
15.0254,12.50164496,6.609102506,2.278356164,3.036158139,10.74805601,10.24888762
11.5264,12.50164496,5.12464303,3.122351687,3.036158139,8.14550767,10.24888762
14.9105,12.50164496,6.453608754,4.150818591,3.036158139,10.91114923,10.24888762
16.1844,12.50164496,6.609102506,4.381963888,3.036158139,9.42558799,10.24888762
16.2669,12.50164496,6.609102506,4.381963888,3.036158139,9.47237418,10.24888762
16.2722,12.50164496,6.609102506,4.050410959,3.036158139,9.47490317,10.24888762
11.4231,12.50164496,5.12464303,3.122351687,3.036158139,8.01657379,10.24888762
15.3394,12.50164496,6.453608754,4.165518267,3.036158139,8.72253058,10.24888762
16.7337,12.50164496,6.609102506,4.381963888,3.036158139,9.27717659,10.24888762
16.8081,12.50164496,6.609102506,4.381963888,3.036158139,9.32056862,10.24888762
16.8137,12.50164496,6.609102506,4.381963888,3.036158139,9.32316416,10.24888762
11.7498,12.50164496,5.12464303,3.122351687,3.036158139,7.98376152,10.24888762
15.3011,12.50164496,6.453608754,4.165518267,3.036158139,8.68772378,10.24888762
16.6708,12.50164496,6.609102506,4.381963888,3.036158139,9.23425042,10.24888762
16.7452,12.50164496,6.609102506,4.381963888,3.036158139,9.27877384,10.24888762
16.8608,12.50164496,6.609102506,4.381963888,3.036158139,8.91434324,10.24888762
