d,t1,t2,p,f,F
8,20,40,370,29.96,5.05494477
8,40,40,370,29.96,5.25622352
8,60,40,370,29.96,5.26960884
8,80,40,370,29.96,5.28476673
8,100,40,370,29.96,5.28609227
8,20,60,370,29.96,5.00311891
8,40,60,370,29.96,5.2028642
8,60,60,370,29.96,5.21051072
8,80,60,370,29.96,5.22473294
8,100,60,370,29.96,5.22359454
8,20,80,370,29.96,5.00226121
8,40,80,370,29.96,5.2014191
8,60,80,370,29.96,5.21124366
8,80,80,370,29.96,5.22521118
8,100,80,370,29.96,5.22361533
8,20,100,370,29.96,5.01280312
8,40,100,370,29.96,5.20167381
8,60,100,370,29.96,5.22131774
8,80,100,370,29.96,5.2400104
8,100,100,370,29.96,5.23929825
8,20,120,370,29.96,5.01462248
8,40,120,370,29.96,5.20727745
8,60,120,370,29.96,5.22245094
8,80,120,370,29.96,5.24106043
8,100,120,370,29.96,5.06117219
10,20,40,370,32.4,6.43061209
10,40,40,370,32.4,6.82808057
10,60,40,370,32.4,6.8525692
10,80,40,370,32.4,6.87702144
10,100,40,370,32.4,6.87888759
10,20,60,370,32.4,6.2985575
10,40,60,370,32.4,6.68583236
10,60,60,370,32.4,6.70626641
10,80,60,370,32.4,6.7279948
10,100,60,370,32.4,6.72897206
10,20,80,370,32.4,6.29860949
10,40,80,370,32.4,6.68467316
10,60,80,370,32.4,6.70670825
10,80,80,370,32.4,6.72974659
10,100,80,370,32.4,6.7300065
10,20,100,370,32.4,6.29610916
10,40,100,370,32.4,6.68126316
10,60,100,370,32.4,6.70820533
10,80,100,370,32.4,6.73094217
10,100,100,370,32.4,6.73082781
10,20,120,370,32.4,6.2939935
10,40,120,370,32.4,7.16752593
10,60,120,370,32.4,6.71016504
10,80,120,370,32.4,6.73280832
10,100,120,370,32.4,6.73241845
12,20,40,370,33.8,7.26121026
12,40,40,370,33.8,7.57072125
12,60,40,370,33.8,7.62615984
12,80,40,370,33.8,7.8205848
12,100,40,370,33.8,7.82397661
12,20,60,370,33.8,7.67065887
12,40,60,370,33.8,7.20717349
12,60,60,370,33.8,7.25376218
12,80,60,370,33.8,7.44974659
12,100,60,370,33.8,7.45130604
12,20,80,370,33.8,7.18459145
12,40,80,370,33.8,7.34810916
12,60,80,370,33.8,7.39875244
12,80,80,370,33.8,7.39925926
12,100,80,370,33.8,7.40074074
12,20,100,370,33.8,7.18232479
12,40,100,370,33.8,7.94347692
12,60,100,370,33.8,8.00589402
12,80,100,370,33.8,8.00692308
12,100,100,370,33.8,8.00860513
12,20,120,370,33.8,7.18152821
12,40,120,370,33.8,7.94121709
12,60,120,370,33.8,8.00759316
12,80,120,370,33.8,8.00894017
12,100,120,370,33.8,8.01105299
14,20,40,370,35.37,9.79315088
14,40,40,370,35.37,11.17646784
14,60,40,370,35.37,11.30164211
14,80,40,370,35.37,11.32096842
14,100,40,370,35.37,11.32018246
14,20,60,370,35.37,9.57333801
14,40,60,370,35.37,10.66526316
14,60,60,370,35.37,10.7836538
14,80,60,370,35.37,10.79790877
14,100,60,370,35.37,10.79488655
14,20,80,370,35.37,9.45620117
14,40,80,370,35.37,10.54269942
14,60,80,370,35.37,10.65550409
14,80,80,370,35.37,10.67082573
14,100,80,370,35.37,10.66752281
14,20,100,370,35.37,9.4387462
14,40,100,370,35.37,10.52147368
14,60,100,370,35.37,10.63802105
14,80,100,370,35.37,10.65364211
14,100,100,370,35.37,10.64954386
14,20,120,370,35.37,9.43548538
14,40,120,370,35.37,10.51528889
14,60,120,370,35.37,10.63800702
14,80,120,370,35.37,10.65376374
14,100,120,370,35.37,10.65037661
16,20,40,370,36.78,11.35762183
16,40,40,370,36.78,12.60670565
16,60,40,370,36.78,12.83847953
16,80,40,370,36.78,12.86304094
16,100,40,370,36.78,12.86304094
16,20,60,370,36.78,10.50619883
16,40,60,370,36.78,11.89836257
16,60,60,370,36.78,12.12955166
